timestamp,packetLength,info,networkInterface.sourceMAC, networkInterface.destinationMAC,internet.sourceIP,internet.destinationIP,internet.protocol,TCP.sourcePort,TCP.destinationPort,TCP.flags,TCP.calculatedWindowSize,UDP.sourcePort,UDP.destinationPort,MQTT.flags,MQTT.message,MQTT.topic,MQTT.messageLength,MQTT.frameCounter
1517688352799319,100,Publish Message,08:00:27:71:f1:05,08:00:27:53:41:85,192.168.1.7,192.168.1.5,MQTT,52588,1883,0x018,229,-1,-1,0x30,62.7216410003,fakeSensor2/sound,32,1
1517688352837583,66,1883  >  52588 [ACK] Seq=1 Ack=35 Win=227 Len=0 TSval=917745 TSecr=1131028,08:00:27:53:41:85,08:00:27:71:f1:05,192.168.1.5,192.168.1.7,TCP,1883,52588,0x010,227,-1,-1,-1,-1,-1,-1,1
1517688352965108,100,Publish Message,08:00:27:0e:06:81,08:00:27:53:41:85,192.168.1.4,192.168.1.5,MQTT,59662,1883,0x018,229,-1,-1,0x30,46.1680763098,fakeSensor3/sound,32,1
1517688352965147,66,1883  >  59662 [ACK] Seq=1 Ack=35 Win=227 Len=0 TSval=917776 TSecr=800538,08:00:27:53:41:85,08:00:27:0e:06:81,192.168.1.5,192.168.1.4,TCP,1883,59662,0x010,227,-1,-1,-1,-1,-1,-1,1
1517688354027486,100,Publish Message,08:00:27:0e:06:81,08:00:27:53:41:85,192.168.1.4,192.168.1.5,MQTT,59662,1883,0x018,229,-1,-1,0x30,31.8849343769,fakeSensor3/sound,32,1
1517688354027533,66,1883  >  59662 [ACK] Seq=1 Ack=69 Win=227 Len=0 TSval=918042 TSecr=800804,08:00:27:53:41:85,08:00:27:0e:06:81,192.168.1.5,192.168.1.4,TCP,1883,59662,0x010,227,-1,-1,-1,-1,-1,-1,1
1517688354060207,100,Publish Message,08:00:27:71:f1:05,08:00:27:53:41:85,192.168.1.7,192.168.1.5,MQTT,52588,1883,0x018,229,-1,-1,0x30,88.6894244115,fakeSensor2/sound,32,1
1517688354060223,66,1883  >  52588 [ACK] Seq=1 Ack=69 Win=227 Len=0 TSval=918050 TSecr=1131343,08:00:27:53:41:85,08:00:27:71:f1:05,192.168.1.5,192.168.1.7,TCP,1883,52588,0x010,227,-1,-1,-1,-1,-1,-1,1
1517688355275614,100,Publish Message,08:00:27:0e:06:81,08:00:27:53:41:85,192.168.1.4,192.168.1.5,MQTT,59662,1883,0x018,229,-1,-1,0x30,53.8000585052,fakeSensor3/sound,32,1
1517688355275646,66,1883  >  59662 [ACK] Seq=1 Ack=103 Win=227 Len=0 TSval=918354 TSecr=801116,08:00:27:53:41:85,08:00:27:0e:06:81,192.168.1.5,192.168.1.4,TCP,1883,59662,0x010,227,-1,-1,-1,-1,-1,-1,1
1517688356033918,100,Publish Message,08:00:27:71:f1:05,08:00:27:53:41:85,192.168.1.7,192.168.1.5,MQTT,52588,1883,0x018,229,-1,-1,0x30,27.5352359332,fakeSensor2/sound,32,1
1517688356033956,66,1883  >  52588 [ACK] Seq=1 Ack=103 Win=227 Len=0 TSval=918544 TSecr=1131836,08:00:27:53:41:85,08:00:27:71:f1:05,192.168.1.5,192.168.1.7,TCP,1883,52588,0x010,227,-1,-1,-1,-1,-1,-1,1
1517688356085826,99,Publish Message,08:00:27:0e:06:81,08:00:27:53:41:85,192.168.1.4,192.168.1.5,MQTT,59662,1883,0x018,229,-1,-1,0x30,78.064482416,fakeSensor3/sound,31,1
1517688356085852,66,1883  >  59662 [ACK] Seq=1 Ack=136 Win=227 Len=0 TSval=918557 TSecr=801319,08:00:27:53:41:85,08:00:27:0e:06:81,192.168.1.5,192.168.1.4,TCP,1883,59662,0x010,227,-1,-1,-1,-1,-1,-1,1
1517688356950746,99,Publish Message,08:00:27:0e:06:81,08:00:27:53:41:85,192.168.1.4,192.168.1.5,MQTT,59662,1883,0x018,229,-1,-1,0x30,80.117284545,fakeSensor3/sound,31,1
1517688356950775,66,1883  >  59662 [ACK] Seq=1 Ack=169 Win=227 Len=0 TSval=918773 TSecr=801535,08:00:27:53:41:85,08:00:27:0e:06:81,192.168.1.5,192.168.1.4,TCP,1883,59662,0x010,227,-1,-1,-1,-1,-1,-1,1
1517688357809751,100,Publish Message,08:00:27:0e:06:81,08:00:27:53:41:85,192.168.1.4,192.168.1.5,MQTT,59662,1883,0x018,229,-1,-1,0x30,110.554690513,fakeSensor3/sound,32,1
1517688357809786,66,1883  >  59662 [ACK] Seq=1 Ack=203 Win=227 Len=0 TSval=918988 TSecr=801750,08:00:27:53:41:85,08:00:27:0e:06:81,192.168.1.5,192.168.1.4,TCP,1883,59662,0x010,227,-1,-1,-1,-1,-1,-1,1
1517688357869360,100,Publish Message,08:00:27:71:f1:05,08:00:27:53:41:85,192.168.1.7,192.168.1.5,MQTT,52588,1883,0x018,229,-1,-1,0x30,96.7230731537,fakeSensor2/sound,32,1
1517688357869391,66,1883  >  52588 [ACK] Seq=1 Ack=137 Win=227 Len=0 TSval=919003 TSecr=1132295,08:00:27:53:41:85,08:00:27:71:f1:05,192.168.1.5,192.168.1.7,TCP,1883,52588,0x010,227,-1,-1,-1,-1,-1,-1,1
1517688358351702,100,Publish Message,08:00:27:0e:06:81,08:00:27:53:41:85,192.168.1.4,192.168.1.5,MQTT,59662,1883,0x018,229,-1,-1,0x30,74.2198396608,fakeSensor3/sound,32,1
1517688358351719,66,1883  >  59662 [ACK] Seq=1 Ack=237 Win=227 Len=0 TSval=919123 TSecr=801885,08:00:27:53:41:85,08:00:27:0e:06:81,192.168.1.5,192.168.1.4,TCP,1883,59662,0x010,227,-1,-1,-1,-1,-1,-1,1
1517688358859624,100,Publish Message,08:00:27:71:f1:05,08:00:27:53:41:85,192.168.1.7,192.168.1.5,MQTT,52588,1883,0x018,229,-1,-1,0x30,64.3488586357,fakeSensor2/sound,32,1
1517688358859641,66,1883  >  52588 [ACK] Seq=1 Ack=171 Win=227 Len=0 TSval=919250 TSecr=1132543,08:00:27:53:41:85,08:00:27:71:f1:05,192.168.1.5,192.168.1.7,TCP,1883,52588,0x010,227,-1,-1,-1,-1,-1,-1,1
1517688358960387,99,Publish Message,08:00:27:0e:06:81,08:00:27:53:41:85,192.168.1.4,192.168.1.5,MQTT,59662,1883,0x018,229,-1,-1,0x30,39.030647831,fakeSensor3/sound,31,1
1517688358960404,66,1883  >  59662 [ACK] Seq=1 Ack=270 Win=227 Len=0 TSval=919275 TSecr=802037,08:00:27:53:41:85,08:00:27:0e:06:81,192.168.1.5,192.168.1.4,TCP,1883,59662,0x010,227,-1,-1,-1,-1,-1,-1,1
1517688359611595,100,Publish Message,08:00:27:0e:06:81,08:00:27:53:41:85,192.168.1.4,192.168.1.5,MQTT,59662,1883,0x018,229,-1,-1,0x30,93.7240499517,fakeSensor3/sound,32,1
1517688359611613,66,1883  >  59662 [ACK] Seq=1 Ack=304 Win=227 Len=0 TSval=919438 TSecr=802200,08:00:27:53:41:85,08:00:27:0e:06:81,192.168.1.5,192.168.1.4,TCP,1883,59662,0x010,227,-1,-1,-1,-1,-1,-1,1
1517688360271121,100,Publish Message,08:00:27:71:f1:05,08:00:27:53:41:85,192.168.1.7,192.168.1.5,MQTT,52588,1883,0x018,229,-1,-1,0x30,41.3567499747,fakeSensor2/sound,32,1
1517688360271175,66,1883  >  52588 [ACK] Seq=1 Ack=205 Win=227 Len=0 TSval=919603 TSecr=1132895,08:00:27:53:41:85,08:00:27:71:f1:05,192.168.1.5,192.168.1.7,TCP,1883,52588,0x010,227,-1,-1,-1,-1,-1,-1,1
1517688360892916,100,Publish Message,08:00:27:71:f1:05,08:00:27:53:41:85,192.168.1.7,192.168.1.5,MQTT,52588,1883,0x018,229,-1,-1,0x30,43.4742013453,fakeSensor2/sound,32,1
1517688360892943,66,1883  >  52588 [ACK] Seq=1 Ack=239 Win=227 Len=0 TSval=919758 TSecr=1133051,08:00:27:53:41:85,08:00:27:71:f1:05,192.168.1.5,192.168.1.7,TCP,1883,52588,0x010,227,-1,-1,-1,-1,-1,-1,1
1517688361533421,100,Publish Message,08:00:27:0e:06:81,08:00:27:53:41:85,192.168.1.4,192.168.1.5,MQTT,59662,1883,0x018,229,-1,-1,0x30,112.994067613,fakeSensor3/sound,32,1
1517688361533439,66,1883  >  59662 [ACK] Seq=1 Ack=338 Win=227 Len=0 TSval=919919 TSecr=802680,08:00:27:53:41:85,08:00:27:0e:06:81,192.168.1.5,192.168.1.4,TCP,1883,59662,0x010,227,-1,-1,-1,-1,-1,-1,1
1517688362055623,100,Publish Message,08:00:27:0e:06:81,08:00:27:53:41:85,192.168.1.4,192.168.1.5,MQTT,59662,1883,0x018,229,-1,-1,0x30,117.839381872,fakeSensor3/sound,32,1
1517688362055642,66,1883  >  59662 [ACK] Seq=1 Ack=372 Win=227 Len=0 TSval=920049 TSecr=802811,08:00:27:53:41:85,08:00:27:0e:06:81,192.168.1.5,192.168.1.4,TCP,1883,59662,0x010,227,-1,-1,-1,-1,-1,-1,1
1517688362707973,99,Publish Message,08:00:27:71:f1:05,08:00:27:53:41:85,192.168.1.7,192.168.1.5,MQTT,52588,1883,0x018,229,-1,-1,0x30,100.80911079,fakeSensor2/sound,31,1
1517688362708003,66,1883  >  52588 [ACK] Seq=1 Ack=272 Win=227 Len=0 TSval=920212 TSecr=1133505,08:00:27:53:41:85,08:00:27:71:f1:05,192.168.1.5,192.168.1.7,TCP,1883,52588,0x010,227,-1,-1,-1,-1,-1,-1,1
1517688362987724,100,Publish Message,08:00:27:0e:06:81,08:00:27:53:41:85,192.168.1.4,192.168.1.5,MQTT,59662,1883,0x018,229,-1,-1,0x30,66.9931537893,fakeSensor3/sound,32,1
1517688362987751,66,1883  >  59662 [ACK] Seq=1 Ack=406 Win=227 Len=0 TSval=920282 TSecr=803044,08:00:27:53:41:85,08:00:27:0e:06:81,192.168.1.5,192.168.1.4,TCP,1883,59662,0x010,227,-1,-1,-1,-1,-1,-1,1
1517688363274631,100,Publish Message,08:00:27:71:f1:05,08:00:27:53:41:85,192.168.1.7,192.168.1.5,MQTT,52588,1883,0x018,229,-1,-1,0x30,42.7960219381,fakeSensor2/sound,32,1
